English,Japanese
BEING,"〈U〉存在,実在(existence);生命(life) / 〈U〉本質,本性(nature) / 〈C〉生き物 / 存在 (existence); もの; 生存, 人生 (life); 生き物; 人間 (human being); [B#] 神; 【哲】 本質, 本性"
BELAY,〈船のロープ〉を綱留め栓に8字形に巻く / 《命令文に用いて》…をやめる(stop)
BELCH,"おくび,げっぷ / (ガス・煙・水などの)噴出;噴火 / …を激しく噴出する《+『forth』(『out』)+『名,』+『名』+『forth』(『out』)》 / おくびをする,げっぷが出る"
BELIE,"〈事柄・行為などが〉…を正しく伝えない;…と食い違う,矛盾する / 〈結果・業績などが〉〈期待など〉を裏切る,にそむく"
BELLE,"美女,美人;(会合などで)一番の美人[もとフランス語]"
BELLS,"らっぱズボン,パンタロン"
BELLY,"『腹』,腹部(abdomen) / 胃 / (物の)内側,内部(inside) / ふくれた部分,胴 / 前面[部],下面[部] / …をふくらませる《+『out』+『名,』+『名』+『out』》 / ふくらむ《+『out』》"
BELOW,"《fly,go,sink など移動を表す動詞と結びつき方向を表して》…『の下方へ』,より低い位置へ / 《位置》…『の下方で』,より低い位置に / (上手・先方に対して)…より下手に,より手前に / (度合・地位・数量などが)…『より以下で』(の) / …にふさわしくない,にさえ値しない / 『下方へ向かって』,低い位置へ / 下方で,低い位置で / (記述で)以下に,下記に / 下級の,下位に / 下記の,後述の"
BENCH,"『ベンチ』,長いす / 〈U〉(職人・技師・科学者の)作業台,実験台,細工台 / 長くて狭い段丘 / 《the~》(スポーツの)選手席,ベンチ;《集合的に》補舌選手たち / 〈C〉裁判官席;〈U〉裁判官の職(地位) / 《集合的に》《the~》裁判官[たち] / 〈C〉(英国議会などの)議席 / 〈選手〉を補欠としてベンチに座らせておく"
BERET,ベレー帽
BERRY,"〈C〉『ベリー』,イチゴ(小粒で果汁の多い食用果実;strawberry, raspberry, gooseberryなどのイチゴ類) / 〈C〉液果(果肉が柔らかく多くの種をもつ果実;tomato, grapeなど) / 〈U〉(魚・エビなどの)卵"
BERTH,"(船・列車などの)寝台,寝だな / (船舶の)停泊位置,投錨(びょう)地;操船余地 / 《船》職,地位 / 〈船〉を停泊させる / 〈人〉に寝台(寝る所)を与える / 停泊する / 寝る所を手に書れる"
BERYL,緑桂石(エメラルドなど)
BESET,(…で)…を取り巻く《+『with』+『名』》 / 《しばしば受動態で》(絶え間ない攻撃などで)…を悩ます《+『名』+『by』(『with』)+『名』》
BESOM,竹ぼうき
BETEL,キンマ(東インド産コショウ科の植物)
BEVEL,"斜角 / (厚板ガラスなどの端に切った)斜面 / 角度定規 / 傾斜した,斜めの / …に斜角をつける,を斜めに切る"
BHANG,"インド大麻 / (インド大麻から作る)麻薬,麻酔剤"
BIDDY,めんどり(hen) / おしゃべりな老女
BIDET,ビデ(女性用局部洗浄器)
BIGHT,"入り江,小湾 / (海岸線・川岸の)屈曲 / (両端を固定したときの)綱のたるんだ部分;(結んだときにできる)綱の輪"
BIGOT,"(信仰・主義などに凝り固まった)がんこな迷信家,(人種的)偏見の持ち主"
BIJOU,宝石 / 小さくかわいらしい物(場所)
BILGE,"〈U〉(船底の)湾曲部 / 〈U〉(船底の)汚水,あか(bilge water) / 〈C〉(たるの)胴 / 〈U〉《話》くだらない話"
BILLY,(巡査の)警棒
BIMAH,ビーマー(ユダヤ教の会堂内にある朗唱壇)
BINGE,"(飲み食いしての)浮かれ騒き,どんちゃん騒ぎ,(何かを)思いきりすること"
BINGO,ビンゴゲーム(数を記したカードで縦・横・斜めに数字を合わせる賭(か)けごと)
BIPED,2足ある / 二足動物
BIRCH,"〈C〉カバの木 / 〈U〉カバ材 / (また『birch rid』)〈C〉(カバの)枝むち(学童を罰するのに用いる) / …を枝むちで打つ,罰する"
BIRTH,"〈C〉〈U〉『誕生』,出生 / 〈U〉『生まれ』,家柄;家系(lineage) / 〈C〉『起原』,起こり(origin)"
BISON,アメリカ野牛(buffalo);ヨーロッパ野牛
BITCH,"(犬・オオカミ・キツネなどの)雌 / 《俗》性悪(しょうわる)女,あばずれ・嫌な女、意地悪な女、あばずれ、くそばばあ、よく文句を言う女、あま、淫乱な女、尻軽女・嫌なもの、難しいもの、難しいこと、大変なこと・ (反語的に)すごく良いもの、すごく楽しいこと / (…について)不平を言う《+『about』+『名』》"
BITER,かむ人(年);かみつく動物(特に犬)
BITTY,ほんの少ししかはいっていない / 《米》ちっちゃな
BLACK,"『黒い』,黒色の / 『暗い』,まっ暗な(dark) / (特にアフリカ系)黒人の / 汚い(dirty),汚れた(soiled) / 陰気な(gloomy);不吉な;見通しの暗い / 怒った(angry);不きげんな(sullen) / 腹黒い,邪悪な(wicked, evil) / 《文》不名誉な / (コーヒーに)クリーム(牛乳)を入れない,ブラックの / 〈U〉『黒』,『黒色』 / 〈C〉《しばしば『B-』》黒人 / 〈U〉黒衣,(特に)喪服 / 黒くなる;暗くなる / …を黒くする;…を暗くする(blacken) / (靴墨で)〈靴〉をみがく"
BLADE,"(刀・ナイフ・のこぎり・かみそりなどの)『刃』,刀身 / 刀,剣 / (特にイネ科植物の)葉,葉身 / (一様に)薄く平べったい部分 / (アイススケート靴の)金属のすべり"
BLAIN,"膿疱(のうほう),水疱,はれもの"
BLAME,"〈事〉を『非難する』,とがめる;(…のことで)〈人〉を非難する《+『名』+『for』+『名』(do『ing』)》 / (…に)〈罪など〉をなすりつける《+『名』+『on』+『名』》 / (罪・過失などに対する)『責任』(responsibility);責め,非難(censure)《+『for』+{名}(doing)"
BLAND,"(態度などが)物柔らかな,人当たりがいい / (気候など)温和な;(食事など)刺激性のない / 興味のわかない,活気のない"
BLANK,"(紙が)『白紙の』;(欄が)空白の,書き入れていない / がらんとした,からの(empty);なんの装飾もない / 『ぼんやりした』,うつろな,無関心な / 全くの / 『空白』,空所 / 書き込み用紙(form) / 空虚;空(くう)の部分 / (語句・文学を伏せる場所に用いる)ダッシュ“‐"":Mr-某氏 / (またblank cartridge)(銃火器の)空包 / …を消す,削除する《+『名』+『out,』+『out』+『名』》 / 《米》〈相手〉に試合で得点させない"
BLARE,〈ラッパなど〉を鳴り響かせる;…を大声で告げ知らせる《+『out』+『名』+『名』+『out』》 / 大きくやかましく鳴り響く / (らっぱ・角笛などの)耳ざわりな響き
BLAST,"〈C〉(風の)『一吹き』,一陣の風;突風,疾風《+『of』+『名』》 / 〈C〉(穴から吹き出す空気の)一吹き / 〈C〉(笛・らっぱなどの)突然の大きな[不快な]音《+『of』+『名』》 / 〈C〉〈U〉爆破(explosion)《+『of』+『名』》 / 〈C〉(1回分の)発破,爆薬 / 〈C〉〈U〉爆風 / …を『爆破する』;…を爆破して作る(開く) / 《文》…を損なう,台なしにする;〈暑さ寒さなどで〉…を枯らす / 〈らっぱなど〉を急に大きく鳴らす / …を酷評する;(…について)〈人〉をこっぴどく叱る《+『名』+『about』+『名』(do『ing』)》 / …をのろう(damn)"
BLAZE,"〈C〉〈U〉炎,火炎 / 〈C〉〈U〉『強烈な光』,閃光(せんこう) / 〈C〉〈U〉燃え立つような輝き / 《a blaze》(感情・怒り・りの)突然の激発(outburst)《+『of』+『名』》 / 《複数形で》《話》《遠回しに》地獄 / 〈火が〉『明るく』(『あかあかと』)『燃える』 / (…で)〈物が〉燃えるように輝く(光)《+『with』+『名』》 / (ある感情で)燃え上がる,輝く《+『with』+『名』》 / …を知らせる,言いふらす / 樹皮をはいで立木につけた目じるし / (動物の顔の)白ぶち,星 / 〈木〉に樹皮を削って目じるしをつける / …に新しい道を開く"
BLEAK,"(場所が)吹きさらしの,荒涼とした / 寒い,冷え冷えする / (将来のことなど)暗い,陰うつな"
BLEAR,"(涙などで)目がかすんだ,曇った(blurred) / (涙などで)〈目・視力〉をかすませる(blur)"
BLEAT,〈ヒツジ・ヤギなどが〉メーと鳴く / …を泣き声で言う / (ヒツジ・ヤギなどの)鳴き声
BLEED,"『出血する』,血を流す;血を流して死ぬ / (切り口などから)〈植物が〉樹液を出す / (…に)血の出るような思いをする《+『for』+『名』》 / 〈絵具・染料などが〉にじむ / (病気の治療として)〈患者〉から血をとる,放血させる / (切口・開口部から)〈血・樹液など〉を出す / …から液体(ガス)を抜きとる;(液体・ガスなどを)…から抜きとる《+『名』+『of』+『名』》 / 《話》…から金をしぼり取る"
BLEEP,(電子装置などの発する)ピッピッという短い高音
BLEND,"(分離できないほどに)…を『混ぜ合わせる』;(…に)…を混ぜる《+『名』+『with』+『名』》 / 『混じる』;溶け合う / (…と)『調和する』《+『with』+『名』》(harmonize) / 『混合』,調合;〈C〉『混合物』"
BLENT,blendの過去・過去分詞
BLESS,"〈神などが〉(…を)〈人〉に『授ける』,恵む《『名』〈人〉+『with』+『名』》 / …を『祝福する』 / 〈神〉をほめたたえる,賛美する;…に感謝する / …を清める / 《「…を悪から守る」の意から転化して間投詞として用いて》 / …をのろう"
BLEST,《古》《詩》blessの過去・過去分詞
BLIMP,(観測用の)小型軟式飛行船
BLIND,"『目の見えない』,盲目の(sightless) / 《補語にのみ用いて》(…を)見る目がない,気がついていない《+『to』+『名』》 / 盲目的な,めくらめっぽうの(reckless) / (特に車の運転者に)隠れて見えない / (通りなどが)行き止まりの,出口のない;(建築物が)窓のない / 肉眼で見えないでする,計器だけに頼る / 〈人〉の目をくらませる,を盲目にする / (…に対して)〈人〉の判断力(分別)を失わせる《+『名』〈人〉+『to』+『名』》 / 『日よけ』,すだれ,よろい戸,ブラインド / 人の目をごまかすもの,見せかけ / 《米》(猟師の)隠れ場 / 目が見えなくて"
BLINK,"(無意識に)『まばたきする』 / 〈灯火・星などが〉『明滅する』,ぴかぴか光る(twinkle) / (欠点・悪事などを)見て見ぬふりをする《+『at』+『名』》 / (…を見て)目をぱちくりさせて驚く《+『at』+『名』》 / 〈目〉をまばたきする / 〈灯火〉を点滅させる / …を見て見ぬふりをする / またたき / きらめき"
BLISS,"『無上の幸福』,この上ない喜び / 天国の喜び,至福"
BLITZ,=blitzkrieg / 猛烈な空襲 / (一般に)急襲 / …を急襲する
BLOAT,…をふくれ上がらせる / ふくれ上がる
BLOCK,"(木・石などの,通例平らな面のある)『かたまり』 / 《米》(四方を街路に囲まれた)『区画』,街区 / 街区の1辺の距離(一般に40メートル前後) / 《英》ブロック(アパート・事務所・商店などに区切られている大きな建物) / 『妨害物』,障害物(obstacle);(障害によって生じた)停滞,渋滞 / 台木,台(まないた・肉切り台・まき割り台・せり売り台・帽子の木型など);《the~》炭頭台 / (特にアメリカンフットボールで)ブロック(相手の選手の突進を阻止する) / 滑車(pulley) / (座席券・株券などの)一組《+『of』+『名』》 / 〈通路など〉を『ふさぐ』,〈通行・進行など〉を妨げる / 〈帽子など〉の型取りをする / (特にアメリカンフットボールで)〈相手選手の突進〉をブロックする;(ボクシングで)〈相手のパンチ〉をブロックする"
BLOOD,"『血』,『血液』 / 流血(bloodshed);殺人 / 気質,気性,血気,血潮 / 『血統』,血縁(kinship);生まれ,家柄;《the~》王家の血統 / (人種・出身国の)系 / 〈人〉に初めての経験をさせる / 〈猟犬〉に初めて獲物を血を味わわせる"
BLOOM,"〈C〉(特に観賞用植物の)『花』 / 〈U〉《a~,the~》 《集合的に》花 / 〈C〉開花;開花期,花盛り / 〈U〉(ある状態の)真っ盛り;(ほおの)ばら色,健康色 / 〈U〉(ほおの)健康な桜色 / 〈U〉(ブドウなどの果実の表面に生ずる)白い粉 / 〈特に,草花が〉花が咲く,開花する / 真っ盛りである,栄える"
BLOWN,blowの過去分詞
BLOWY,"風のある,風の強い"
BLUET,青い花の咲く植物の総称;ヤグルマソウなど
BLUFF,"『絶壁の』,切り立った / (不親切ではないが)『ぶっきらぼうな』,無愛想な / 絶壁;切り立った岬 / 〈U〉虚勢,はったり;こけおどし / 〈C〉虚勢を張る人 / (…するように)〈人〉をこけおどし(はったり)でだます《+『名』+『into』 do『ing』》 / こけおどし(はったり)をかける"
